DateTime,Entries,UniqueIPs
1540058926,7793,7793
1540062532,7786,7786
1540066123,7782,7782
1540069727,7783,7783
1540073322,7782,7782
1540076917,7777,7777
1540080526,7781,7781
1540084119,7779,7779
1540087718,7762,7762
1540091321,7745,7745
1540094921,7750,7750
1540098517,7753,7753
1540102120,7750,7750
1540105717,7756,7756
1540109323,7763,7763
1540112929,7748,7748
1540116541,7752,7752
1540120132,7743,7743
1540123723,7742,7742
1540127329,7740,7740
1540130914,7744,7744
1540134527,7749,7749
1540138115,7754,7754
1540141728,7750,7750
1540145326,7746,7746
1540148921,7738,7738
1540152526,7735,7735
1540156129,7748,7748
1540159732,7741,7741
1540163326,7739,7739
1540166925,7741,7741
1540170521,7739,7739
1540174130,7730,7730
1540177724,7728,7728
1540181320,7731,7731
1540184922,7743,7743
1540188522,7765,7765
1540192128,7767,7767
1540195715,7769,7769
1540199322,7766,7766
1540202927,7785,7785
1540206521,7777,7777
1540210129,7795,7795
1540213722,7803,7803
1540217322,7808,7808
1540220923,7820,7820
1540224528,7802,7802
1540228126,7794,7794
1540231735,7792,7792
1540235332,7790,7790
1540238936,7796,7796
1540242565,7824,7824
1540246171,7839,7839
1540249771,7824,7824
1540253367,7814,7814
1540256958,7821,7821
1540260570,7834,7834
1540264179,7839,7839
1540267771,7845,7845
1540271359,7844,7844
1540274962,7840,7840
1540278556,7812,7812
1540282155,7783,7783
1540285766,7749,7749
1540289354,7729,7729
1540292958,7714,7714
1540296555,7700,7700
1540300154,7673,7673
1540303746,7654,7654
1540307349,7660,7660
1540310959,7640,7640
1540314547,7617,7617
1540318146,7616,7616
1540321748,7603,7603
1540325349,7586,7586
1540328948,7570,7570
1540332550,7551,7551
1540336143,7528,7528
1540339773,7513,7513
1540343343,7510,7510
1540346937,7486,7486
1540350540,7451,7451
1540354132,7444,7444
1540357735,7447,7447
1540361331,7445,7445
1540364928,7443,7443
1540368530,7434,7434
1540372134,7451,7451
1540375735,7444,7444
1540379342,7442,7442
1540382939,7429,7429
1540386539,7403,7403
1540390195,7413,7413
1540393733,7416,7416
1540397301,7416,7416
1540400921,7412,7412
1540404500,7377,7377
1540408106,7370,7370
1540411698,7352,7352
1540415298,7345,7345
1540418906,7352,7352
1540422508,7341,7341
1540426109,7342,7342
1540429703,7331,7331
1540433312,7323,7323
1540436899,7301,7301
1540440496,7300,7300
1540444093,7283,7283
1540447694,7273,7273
1540451284,7247,7247
1540454893,7254,7254
1540458499,7255,7255
1540462097,7245,7245
1540465696,7247,7247
1540469301,7240,7240
1540472903,7236,7236
1540476522,7248,7248
1540480093,7236,7236
1540483700,7244,7244
1540487295,7227,7227
1540490915,7221,7221
1540494513,7212,7212
1540498117,7206,7206
1540501710,7210,7210
1540505305,7212,7212
1540508911,7224,7224
1540512504,7222,7222
1540516097,7212,7212
1540519701,7197,7197
1540523296,7178,7178
1540526900,7170,7170
1540530506,7168,7168
1540534117,7156,7156
1540537696,7157,7157
1540541299,7137,7137
1540544894,7119,7119
1540548493,7082,7082
1540552091,7052,7052
1540555699,7030,7030
1540559296,7007,7007
1540562886,6996,6996
1540566482,6955,6955
1540570083,6930,6930
1540573677,6900,6900
1540577270,6841,6841
1540580865,6810,6810
1540584468,6792,6792
1540588072,6774,6774
1540591683,6749,6749
1540595281,6735,6735
1540598876,6715,6715
1540602470,6701,6701
1540606077,6680,6680
1540609673,6668,6668
1540613268,6662,6662
1540616873,6643,6643
1540620461,6622,6622
1540624074,6611,6611
1540627668,6594,6594
1540631278,6570,6570
1540634869,6551,6551
1540638465,6533,6533
1540642068,6515,6515
1540645657,6495,6495
1540649251,6491,6491
1540652850,6483,6483
1540656456,6467,6467
1540660063,6464,6464
1540663675,6450,6450
1540667268,6437,6437
1540670857,6427,6427
1540674456,6418,6418
1540678060,6408,6408
1540681646,6403,6403
1540685253,6409,6409
1540688859,6403,6403
1540692462,6396,6396
1540696059,6384,6384
1540699662,6375,6375
1540703260,6361,6361
1540706867,6358,6358
1540710459,6347,6347
1540714056,6328,6328
1540717659,6320,6320
1540721249,6304,6304
1540724838,6292,6292
1540728452,6284,6284
1540732039,6266,6266
1540735645,6258,6258
1540739246,6247,6247
1540742844,6228,6228
1540746445,6203,6203
1540750045,6191,6191
1540753645,6184,6184
1540757244,6178,6178
1540760845,6185,6185
1540764443,6163,6163
1540768041,6143,6143
1540771640,6120,6120
1540775239,6096,6096
1540778832,6098,6098
1540782437,6074,6074
1540786028,6059,6059
1540789629,6028,6028
1540793240,5980,5980
1540796832,5969,5969
1540800437,5957,5957
1540804025,5945,5945
1540807630,5906,5906
1540811220,5911,5911
